,STT,Chunk,Context,Position
0,0,"Nghị định này quy định Danh mục hàng hóa nguy hiểm, việc vận chuyển hàng hóa nguy hiểm, cấp giấy phép vận chuyển hàng hóa nguy hiểm bằng phương tiện giao thông cơ giới đường bộ, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm bằng phương tiện giao thông cơ giới đường bộ.","Nội dung của Điều 1 trong Nghị định 161/2024/NĐ-CP nêu rõ phạm vi áp dụng liên quan đến danh mục hàng hóa nguy hiểm và các quy định về vận chuyển, cấp giấy phép và chứng nhận cho những người tham gia quá trình vận chuyển hàng hóa nguy hiểm trên đường bộ. Điều này nằm trong chương đầu tiên của văn bản pháp lý, thiết lập khung quản lý tổng thể cho hoạt động vận chuyển hàng hóa nguy hiểm tại Việt Nam, nhằm đảm bảo an toàn và tuân thủ các quy định pháp luật liên quan."," Điểm: None, Khoản: 1, Điều: Điều 1. Phạm vi điều chỉnh,  Chương: Chương I NHỮNG QUY ĐỊNH CHUNG, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ"
1,0,Đối với hoạt động vận chuyển các chất phóng xạ thực hiện theo quy định của pháp luật về vận chuyển năng lượng nguyên tử.,"Nội dung này nằm trong Điều 1 của Nghị định 161/2024/NĐ-CP, thuộc Chương I về những quy định chung, nhằm xác định phạm vi điều chỉnh liên quan đến việc vận chuyển hàng hóa nguy hiểm, bao gồm cả các chất phóng xạ, ngay cả khi quy định cụ thể đã được thiết lập trong luật năng lượng nguyên tử. Điều này phản ánh nỗ lực tạo ra một khung pháp lý phối hợp chặt chẽ giữa các lĩnh vực liên quan để bảo đảm an toàn và tuân thủ pháp luật trong vận chuyển hàng hóa nguy hiểm."," Điểm: None, Khoản: 2, Điều: Điều 1. Phạm vi điều chỉnh,  Chương: Chương I NHỮNG QUY ĐỊNH CHUNG, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ"
2,0,"Đối với hoạt động vận chuyển vũ khí, vật liệu nổ, công cụ hỗ trợ, tiền chất thuốc nổ, pháo thực hiện theo quy định của pháp luật về vũ khí, vật liệu nổ, công cụ hỗ trợ, tiền chất thuốc nổ và pháo.","Nội dung này nằm trong Điều 1 của Nghị định 161/2024/NĐ-CP, quy định về phạm vi điều chỉnh liên quan đến vận chuyển hàng hóa nguy hiểm, trong đó cụ thể hóa các quy định về vận chuyển vũ khí và vật liệu nổ. Điều này thể hiện sự tương thích giữa Nghị định và các luật khác có liên quan, nhằm đảm bảo an toàn và quản lý hiệu quả trong lĩnh vực vận chuyển hàng hóa nguy hiểm."," Điểm: None, Khoản: 3, Điều: Điều 1. Phạm vi điều chỉnh,  Chương: Chương I NHỮNG QUY ĐỊNH CHUNG, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ"
3,0,Đối với các hàng hóa nguy hiểm là chất thải nguy hại thực hiện theo quy định của pháp luật về bảo vệ môi trường.,"Vị trí trong tài liệu: Khoản 4, Điều 1. Phạm vi điều chỉnh, Chương I NHỮNG QUY ĐỊNH CHUNG của Nghị định 161/2024/NĐ-CP. Nội dung này nằm trong phần quy định phạm vi và điều kiện áp dụng đối với việc vận chuyển hàng hóa nguy hiểm, nhấn mạnh trách nhiệm tuân thủ pháp luật bảo vệ môi trường khi liên quan đến chất thải nguy hại."," Điểm: None, Khoản: 4, Điều: Điều 1. Phạm vi điều chỉnh,  Chương: Chương I NHỮNG QUY ĐỊNH CHUNG, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ"
4,0,"Đối với trường hợp có quy định khác nhau giữa Nghị định này với quy định của pháp luật về vận chuyển năng lượng nguyên tử, vũ khí, vật liệu nổ, công cụ hỗ trợ, tiền chất thuốc nổ, pháo, bảo vệ môi trường, phòng cháy và chữa cháy thì thực hiện theo quy định của pháp luật về vận chuyển năng lượng nguyên tử, vũ khí, vật liệu nổ, công cụ hỗ trợ, tiền chất thuốc nổ và pháo, bảo vệ môi trường, phòng cháy và chữa cháy.","Vị trí trong tài liệu: Điểm: None, Khoản: 5, Điều: Điều 1. Phạm vi điều chỉnh, Chương: Chương I NHỮNG QUY ĐỊNH CHUNG, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ. 

Nội dung này nằm trong Điều 1 của Nghị định 161/2024/NĐ-CP, ở vị trí xác định quyền ưu tiên áp dụng luật trong việc vận chuyển hàng hóa nguy hiểm, nhằm đảm bảo rằng các quy định cụ thể liên quan đến năng lượng nguyên tử, vũ khí, và môi trường được thực hiện đúng theo pháp luật hiện hành."," Điểm: None, Khoản: 5, Điều: Điều 1. Phạm vi điều chỉnh,  Chương: Chương I NHỮNG QUY ĐỊNH CHUNG, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ"
5,0,"Đối với vận chuyển hàng hóa nguy hiểm bằng đường bộ qua biên giới trong khuôn khổ Hiệp định, Nghị định thư thực hiện Hiệp định vận tải đường bộ và các Phụ lục của Nghị định thư, các chứng chỉ đào tạo về vận chuyển hàng hóa nguy hiểm bằng đường bộ được cấp bởi cơ quan có thẩm quyền của bên ký kết khác được chấp thuận sử dụng khi vận chuyển trên lãnh thổ Việt Nam.","Vị trí trong tài liệu: Điểm: None, Khoản: 6, Điều: Điều 1. Phạm vi điều chỉnh, Chương: Chương I NHỮNG QUY ĐỊNH CHUNG, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ. Nội dung này quy định cụ thể về việc chấp nhận các chứng chỉ đào tạo từ nước ngoài trong việc vận chuyển hàng hóa nguy hiểm qua biên giới, nằm trong Phạm vi điều chỉnh của nghị định nhằm đảm bảo hợp tác quốc tế và tuân thủ các hiệp định vận tải đường bộ."," Điểm: None, Khoản: 6, Điều: Điều 1. Phạm vi điều chỉnh,  Chương: Chương I NHỮNG QUY ĐỊNH CHUNG, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ"
6,1,"Nghị định này áp dụng với tổ chức, cá nhân Việt Nam và nước ngoài liên quan đến việc vận chuyển hàng hoá nguy hiểm bằng phương tiện giao thông cơ giới đường bộ trên lãnh thổ nước Cộng hòa xã hội chủ nghĩa Việt Nam.","**Bối cảnh**: Điều 2 quy định đối tượng áp dụng của Nghị định 161/2024/NĐ-CP, trong Chương I tổng quan về các quy định chung liên quan đến việc quản lý và vận chuyển hàng hóa nguy hiểm bằng phương tiện giao thông đường bộ, nhằm đảm bảo an toàn và tuân thủ pháp luật. Điều này đặt nền tảng cho các quy định chi tiết hơn trong các điều tiếp theo của nghị định."," Điều: Điều 2. Đối tượng áp dụng,  Chương: Chương I NHỮNG QUY ĐỊNH CHUNG, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ"
7,2,"Trong Nghị định này, các từ ngữ dưới đây được hiểu như sau:

1. Người vận tải là tổ chức, cá nhân sử dụng phương tiện giao thông cơ giới đường bộ thuộc quyền sử dụng hợp pháp của mình để thực hiện vận chuyển hàng hóa nguy hiểm.

2. Người thuê vận tải là tổ chức, cá nhân giao kết hợp đồng vận tải hàng hóa nguy hiểm trên đường bộ với người vận tải.

3. Người xếp dỡ hàng hóa nguy hiểm là tổ chức, cá nhân thực hiện việc xếp, dỡ hàng hóa nguy hiểm trên phương tiện giao thông cơ giới đường bộ hoặc tại kho, bãi lưu giữ hàng hóa nguy hiểm.

4. Người áp tải là cá nhân do người thuê vận tải (hoặc chủ hàng) sử dụng để thực hiện nhiệm vụ áp tải hàng hoá nguy hiểm trong suốt quá trình vận chuyển.","Bối cảnh: Điều 3 trong Chương I của Nghị định 161/2024/NĐ-CP quy định về giải thích các từ ngữ liên quan đến việc vận chuyển hàng hóa nguy hiểm. Nội dung này giúp định rõ vai trò và trách nhiệm của các bên liên quan, từ người vận tải đến người áp tải, trong bối cảnh các quy định chung về quản lý và an toàn trong vận chuyển hàng hóa nguy hiểm trên đường bộ."," Điều: Điều 3. Giải thích từ ngữ,  Chương: Chương I NHỮNG QUY ĐỊNH CHUNG, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ"
8,3,"1. Tùy theo tính chất hóa, lý, hàng hoá nguy hiểm được phân thành 9 loại và nhóm loại sau đây:

a) Loại 1. Chất nổ và vật phẩm dễ nổ;

Nhóm 1.1: Chất và vật phẩm có nguy cơ nổ rộng.

Nhóm 1.2: Chất và vật phẩm có nguy cơ bắn tóe nhưng không nổ rộng.

Nhóm 1.3: Chất và vật phẩm có nguy cơ cháy và nguy cơ nổ nhỏ hoặc bắn tóe nhỏ hoặc cả hai, nhưng không nổ rộng.

Nhóm 1.4: Chất và vật phẩm có nguy cơ không đáng kể.

Nhóm 1.5: Chất không nhạy nhưng có nguy cơ nổ rộng.

Nhóm 1.6: Vật phẩm đặc biệt không nhạy, không có nguy cơ nổ rộng.

b) Loại 2. Khí;

Nhóm 2.1: Khí dễ cháy.

Nhóm 2.2: Khí không dễ cháy, không độc hại.

Nhóm 2.3: Khí độc hại.

c) Loại 3. Chất lỏng dễ cháy và chất nổ lỏng khử nhạy;

d) Loại 4;

Nhóm 4.1: Chất rắn dễ cháy, chất tự phản ứng và chất nổ rắn được ngâm trong chất lỏng hoặc bị khử nhạy.

Nhóm 4.2: Chất có khả năng tự bốc cháy.

Nhóm 4.3: Chất khi tiếp xúc với nước tạo ra khí dễ cháy.

đ) Loại 5;

Nhóm 5.1: Chất ôxi hóa.

Nhóm 5.2: Perôxít hữu cơ.

e) Loại 6;

Nhóm 6.1: Chất độc.

Nhóm 6.2: Chất gây nhiễm bệnh.

g) Loại 7: Chất phóng xạ;

h) Loại 8: Chất ăn mòn;

i) Loại 9: Chất và vật phẩm nguy hiểm khác.

2. Các bao bì, thùng chứa hàng hoá nguy hiểm chưa được làm sạch bên trong và bên ngoài sau khi dỡ hết hàng hoá nguy hiểm cũng được coi là hàng hoá nguy hiểm tương ứng.","Vị trí trong tài liệu: Điều 4, nằm trong Chương II của Nghị định 161/2024/NĐ-CP, quy định về phân loại hàng hóa nguy hiểm. Điều này tạo nền tảng cho việc xác định các nhóm hàng hóa nguy hiểm, từ đó đảm bảo sự an toàn trong vận chuyển và quản lý hàng hóa nguy hiểm theo quy định của pháp luật."," Điều: Điều 4. Phân loại hàng hóa nguy hiểm,  Chương: Chương II PHÂN LOẠI, DANH MỤC, ĐÓNG GÓI, DÁN NHÃN VÀ TẬP HUẤN AN TOÀN HÀNG HÓA NGUY HIỂM, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ"
9,4,"1. Danh mục hàng hóa nguy hiểm được phân theo loại, nhóm kèm theo mã số Liên hợp quốc và số hiệu nguy hiểm quy định tại Phụ lục I kèm theo Nghị định này.

2. Mức độ nguy hiểm của mỗi chất trong danh mục hàng hóa nguy hiểm được biểu thị bằng số hiệu nguy hiểm với một nhóm có 2 đến 3 chữ số quy định tại Phụ lục II kèm theo Nghị định này.","Bối cảnh: Điều 5 trong Chương II của Nghị định 161/2024/NĐ-CP quy định chi tiết về danh mục hàng hóa nguy hiểm, bao gồm phân loại, mã số Liên hợp quốc và mức độ nguy hiểm của từng loại hàng hóa. Điều này nằm trong khuôn khổ quy định chung về an toàn vận chuyển hàng hóa nguy hiểm trên đường bộ, nhằm đảm bảo an toàn cho người và môi trường trong quá trình vận chuyển."," Điều: Điều 5. Danh mục hàng hóa nguy hiểm,  Chương: Chương II PHÂN LOẠI, DANH MỤC, ĐÓNG GÓI, DÁN NHÃN VÀ TẬP HUẤN AN TOÀN HÀNG HÓA NGUY HIỂM, Luật: Nghị định 161/2024/NĐ-CP quy định Danh mục hàng hóa nguy hiểm, vận chuyển hàng hóa nguy hiểm và trình tự, thủ tục cấp giấy phép, cấp giấy chứng nhận hoàn thành chương trình tập huấn cho người lái xe hoặc người áp tải vận chuyển hàng hóa nguy hiểm trên đường bộ"
